epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5082,0.99861,2.7638,1.1632,0.71374,0.76529,0.89701,0.6902,0.76292,1.81594,1.04937,0.000413194,0.000413194,0.000413194
2,126.446,1.03652,1.76305,1.1751,0.58035,0.65161,0.65133,0.40461,1.15096,1.92725,1.33637,0.000821645,0.000821645,0.000821645
3,187.916,1.03513,1.51888,1.17078,0.82795,0.81924,0.86715,0.6625,0.85425,0.94486,1.10107,0.00122185,0.00122185,0.00122185
4,249.102,1.02488,1.23948,1.18103,0.72036,0.82618,0.82707,0.63925,0.83473,0.93405,1.11416,0.00121287,0.00121287,0.00121287
5,310.612,0.93938,1.02852,1.13474,0.88791,0.92488,0.96428,0.78592,0.70624,0.6777,1.02727,0.0012005,0.0012005,0.0012005
6,371.597,0.90538,0.97761,1.11479,0.94871,0.97668,0.9753,0.8397,0.6035,0.55816,0.95286,0.00118812,0.00118812,0.00118812
7,432.771,0.83997,0.91713,1.09729,0.95969,0.87118,0.9469,0.82183,0.60577,0.63911,0.96237,0.00117575,0.00117575,0.00117575
8,493.741,0.82706,0.85106,1.09203,0.93295,0.96507,0.97396,0.85356,0.53396,0.4749,0.92821,0.00116337,0.00116337,0.00116337
9,555.033,0.79545,0.82875,1.0728,0.86537,0.88852,0.93523,0.80825,0.56586,0.74823,0.95128,0.001151,0.001151,0.001151
10,616.056,0.78683,0.77722,1.06919,0.97821,0.93568,0.97518,0.86247,0.53262,0.47884,0.92523,0.00113863,0.00113863,0.00113863
11,677.242,0.76467,0.75199,1.07316,0.93313,0.89466,0.94196,0.8289,0.53614,0.55318,0.93335,0.00112625,0.00112625,0.00112625
12,738.192,0.73817,0.71841,1.06368,0.94464,0.96083,0.97989,0.84721,0.57964,0.46736,0.95322,0.00111388,0.00111388,0.00111388
13,799.663,0.75216,0.73606,1.0734,0.96161,0.92621,0.97184,0.8514,0.53156,0.45273,0.9398,0.0011015,0.0011015,0.0011015
14,860.688,0.73084,0.70637,1.06125,0.95119,0.95473,0.97951,0.88141,0.47259,0.43673,0.88921,0.00108913,0.00108913,0.00108913
15,921.496,0.73099,0.68298,1.05363,0.97528,0.97635,0.9913,0.88397,0.48249,0.38802,0.91082,0.00107675,0.00107675,0.00107675
16,982.403,0.70478,0.64795,1.04438,0.97372,0.97835,0.98671,0.89995,0.44013,0.37456,0.89802,0.00106437,0.00106437,0.00106437
17,1043.49,0.69247,0.63881,1.04399,0.97743,0.95741,0.98586,0.90543,0.43198,0.3699,0.89127,0.001052,0.001052,0.001052
18,1104.63,0.68233,0.6392,1.0367,0.98697,0.97995,0.99397,0.91597,0.43426,0.34184,0.88423,0.00103962,0.00103962,0.00103962
19,1165.63,0.68596,0.62331,1.04737,0.9596,0.97961,0.98705,0.89792,0.45587,0.37059,0.89668,0.00102725,0.00102725,0.00102725
20,1226.61,0.65461,0.59772,1.02551,0.96999,0.96662,0.98124,0.91475,0.41319,0.3701,0.88463,0.00101488,0.00101488,0.00101488
21,1287.76,0.66519,0.61041,1.03564,0.97484,0.94323,0.98478,0.88522,0.47315,0.37671,0.91366,0.0010025,0.0010025,0.0010025
22,1348.85,0.66128,0.62127,1.04246,0.97924,0.97987,0.99163,0.91908,0.40506,0.33462,0.88116,0.000990125,0.000990125,0.000990125
23,1409.9,0.62114,0.58172,1.01348,0.9883,0.98232,0.99262,0.91937,0.39787,0.3187,0.86719,0.00097775,0.00097775,0.00097775
24,1470.76,0.6257,0.58889,1.01633,0.95666,0.97506,0.96421,0.89719,0.3971,0.37462,0.89012,0.000965375,0.000965375,0.000965375
25,1531.4,0.62252,0.56865,1.02518,0.98404,0.99481,0.99334,0.92385,0.39089,0.30527,0.86826,0.000953,0.000953,0.000953
26,1592.64,0.61606,0.57757,1.01917,0.98026,0.98731,0.99397,0.92994,0.39788,0.29074,0.87973,0.000940625,0.000940625,0.000940625
27,1653.96,0.62495,0.56029,1.02877,0.98135,0.98717,0.9859,0.90636,0.40881,0.32583,0.88462,0.00092825,0.00092825,0.00092825
28,1715.33,0.6174,0.54039,1.01291,0.9852,0.98139,0.99086,0.92686,0.40631,0.30542,0.87133,0.000915875,0.000915875,0.000915875
29,1776.54,0.61838,0.55321,1.01933,0.98412,0.98681,0.99264,0.92842,0.4077,0.29668,0.87968,0.0009035,0.0009035,0.0009035
30,1836.67,0.59402,0.53796,1.00172,0.98818,0.9852,0.99411,0.93509,0.37629,0.28399,0.86362,0.000891125,0.000891125,0.000891125
31,1897.69,0.57073,0.51223,0.99306,0.98261,0.99355,0.99439,0.93609,0.35139,0.26961,0.86298,0.00087875,0.00087875,0.00087875
32,1958.75,0.59011,0.52335,0.99619,0.98163,0.97649,0.99159,0.94206,0.35196,0.30059,0.85362,0.000866375,0.000866375,0.000866375
33,2017.76,0.57158,0.49842,0.98342,0.99332,0.98184,0.99183,0.9268,0.37124,0.28758,0.86812,0.000854,0.000854,0.000854
34,2076.6,0.58021,0.51188,1.00272,0.96154,0.963,0.98103,0.92259,0.36121,0.34698,0.87477,0.000841625,0.000841625,0.000841625
35,2135.31,0.57637,0.52313,0.99751,0.9896,0.99486,0.99477,0.95047,0.33214,0.26029,0.85527,0.00082925,0.00082925,0.00082925
36,2194.08,0.5653,0.49003,0.99652,0.98267,0.99893,0.99197,0.94775,0.33369,0.25546,0.84678,0.000816875,0.000816875,0.000816875
37,2252.63,0.55273,0.49823,0.97909,0.99488,0.98816,0.99476,0.95057,0.3474,0.25949,0.85042,0.0008045,0.0008045,0.0008045
38,2311.32,0.5436,0.49074,0.9783,0.96266,0.98285,0.98291,0.93356,0.34638,0.28718,0.87452,0.000792125,0.000792125,0.000792125
39,2370.48,0.55645,0.50244,0.99565,0.98957,0.98009,0.99389,0.94029,0.37309,0.27135,0.87094,0.00077975,0.00077975,0.00077975
40,2429.31,0.54719,0.48394,0.97844,0.99199,0.98943,0.99414,0.95237,0.31837,0.24208,0.84439,0.000767375,0.000767375,0.000767375
41,2488.11,0.54356,0.47305,0.9896,0.98419,0.99406,0.99367,0.94181,0.34671,0.2578,0.86891,0.000755,0.000755,0.000755
