epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1746.11,0.51826,0.44216,0.94348,0.99854,1,0.995,0.9593,0.3032,0.22693,0.78038,0.000742625,0.000742625,0.000742625
43,1787.63,0.5276,0.45495,0.94642,0.98959,0.98971,0.9942,0.95082,0.31039,0.264,0.78466,0.00073025,0.00073025,0.00073025
44,1829.06,0.50475,0.42788,0.9358,0.99665,0.99517,0.99496,0.96136,0.30674,0.23318,0.78772,0.000717875,0.000717875,0.000717875
45,1870.56,0.51786,0.43725,0.94149,0.99423,0.99875,0.995,0.95737,0.28406,0.23483,0.77429,0.0007055,0.0007055,0.0007055
46,1911.97,0.51254,0.4343,0.94168,0.997,0.99615,0.995,0.95449,0.32039,0.23302,0.78391,0.000693125,0.000693125,0.000693125
47,1953.55,0.50014,0.43077,0.93906,0.98976,0.99249,0.99476,0.96369,0.27998,0.22289,0.77541,0.00068075,0.00068075,0.00068075
48,1995.21,0.48818,0.41491,0.92187,0.99009,0.99583,0.99362,0.9556,0.30464,0.22917,0.77931,0.000668375,0.000668375,0.000668375
49,2036.81,0.4986,0.42152,0.93658,0.99039,0.99291,0.99267,0.96005,0.28834,0.22574,0.77626,0.000656,0.000656,0.000656
50,2078.29,0.48965,0.41395,0.92827,0.98968,0.99583,0.99385,0.95768,0.29663,0.2322,0.78224,0.000643625,0.000643625,0.000643625
51,2120.02,0.48804,0.41706,0.93474,0.99816,0.99636,0.995,0.96215,0.29154,0.21779,0.78509,0.00063125,0.00063125,0.00063125
52,2161.47,0.48722,0.41704,0.93458,0.98721,0.99208,0.99455,0.96854,0.27635,0.23177,0.78009,0.000618875,0.000618875,0.000618875
53,2202.97,0.48265,0.40906,0.92806,0.99711,1,0.995,0.96098,0.29231,0.22052,0.78868,0.0006065,0.0006065,0.0006065
54,2244.37,0.47521,0.39922,0.92736,0.99458,0.99633,0.99377,0.96264,0.27677,0.20746,0.78006,0.000594125,0.000594125,0.000594125
55,2285.93,0.46413,0.39457,0.92497,0.99827,1,0.995,0.97064,0.27124,0.20152,0.77436,0.00058175,0.00058175,0.00058175
56,2327.4,0.47664,0.4021,0.92371,0.99226,0.99583,0.99303,0.962,0.27958,0.21864,0.77387,0.000569375,0.000569375,0.000569375
57,2368.95,0.46924,0.39698,0.92696,0.9924,0.99583,0.99496,0.95737,0.28905,0.21759,0.7798,0.000557,0.000557,0.000557
58,2410.37,0.46115,0.38859,0.92351,0.98532,0.99905,0.995,0.95965,0.28321,0.22256,0.78456,0.000544625,0.000544625,0.000544625
59,2451.7,0.45458,0.38445,0.91877,0.99386,0.99167,0.99136,0.95504,0.28258,0.21411,0.78585,0.00053225,0.00053225,0.00053225
60,2493.06,0.46174,0.39388,0.9291,0.99806,0.99875,0.995,0.962,0.27455,0.20124,0.78655,0.000519875,0.000519875,0.000519875
61,2534.81,0.46256,0.39393,0.92419,0.99598,0.99749,0.995,0.96722,0.27325,0.20428,0.77261,0.0005075,0.0005075,0.0005075
62,2576.3,0.47369,0.39854,0.9345,0.99886,1,0.995,0.97037,0.25198,0.19552,0.7693,0.000495125,0.000495125,0.000495125
63,2617.89,0.45176,0.38092,0.92163,0.99272,0.99211,0.9948,0.95826,0.2772,0.2075,0.77281,0.00048275,0.00048275,0.00048275
64,2659.32,0.44832,0.3773,0.91949,0.98713,1,0.995,0.97279,0.25603,0.19828,0.77305,0.000470375,0.000470375,0.000470375
65,2700.64,0.43966,0.37216,0.91779,0.99795,0.99989,0.995,0.96229,0.26478,0.1956,0.77583,0.000458,0.000458,0.000458
66,2742.11,0.44495,0.37813,0.91719,0.99821,1,0.995,0.96492,0.26349,0.19038,0.76798,0.000445625,0.000445625,0.000445625
67,2783.71,0.43145,0.37231,0.90463,0.99793,1,0.995,0.97379,0.24512,0.18049,0.76793,0.00043325,0.00043325,0.00043325
68,2825.16,0.42765,0.35773,0.90719,0.99824,1,0.995,0.96885,0.25327,0.18087,0.76605,0.000420875,0.000420875,0.000420875
69,2866.55,0.4353,0.35464,0.91323,0.99471,0.99583,0.99242,0.96963,0.25299,0.18567,0.76969,0.0004085,0.0004085,0.0004085
70,2908.05,0.42539,0.36156,0.9127,0.99839,1,0.995,0.9679,0.25184,0.18335,0.76763,0.000396125,0.000396125,0.000396125
71,2949.54,0.43824,0.36421,0.91536,0.99751,0.99914,0.995,0.96879,0.25471,0.17565,0.7637,0.00038375,0.00038375,0.00038375
72,2991.11,0.43136,0.35969,0.91039,0.99028,0.99606,0.995,0.97297,0.24278,0.17897,0.76587,0.000371375,0.000371375,0.000371375
73,3032.72,0.41077,0.34423,0.90366,0.99831,0.99583,0.99496,0.97021,0.24628,0.177,0.76596,0.000359,0.000359,0.000359
74,3074.22,0.42622,0.35746,0.91344,0.99748,0.99816,0.995,0.97238,0.24489,0.183,0.76442,0.000346625,0.000346625,0.000346625
75,3115.87,0.40475,0.33348,0.90139,0.99428,0.99635,0.995,0.97251,0.23723,0.17525,0.76591,0.00033425,0.00033425,0.00033425
76,3157.51,0.41357,0.34431,0.91097,0.99871,1,0.995,0.97437,0.23995,0.17544,0.76631,0.000321875,0.000321875,0.000321875
77,3198.95,0.40927,0.34712,0.90199,0.99711,1,0.995,0.97228,0.23786,0.17033,0.76694,0.0003095,0.0003095,0.0003095
78,3240.51,0.41422,0.33214,0.91032,0.99868,1,0.995,0.9739,0.23693,0.16692,0.76151,0.000297125,0.000297125,0.000297125
79,3281.99,0.4076,0.33416,0.90251,0.99866,1,0.995,0.97075,0.24152,0.16379,0.76162,0.00028475,0.00028475,0.00028475
80,3323.5,0.40277,0.3405,0.90319,0.99884,1,0.995,0.97161,0.23915,0.16642,0.76429,0.000272375,0.000272375,0.000272375
81,3364.98,0.39517,0.31971,0.90355,0.9989,1,0.995,0.97127,0.2473,0.16392,0.76795,0.00026,0.00026,0.00026
82,3406.63,0.41128,0.33571,0.90805,0.99866,1,0.995,0.96949,0.23877,0.1648,0.76372,0.000247625,0.000247625,0.000247625
83,3448.16,0.40554,0.33218,0.91076,0.99818,1,0.995,0.97356,0.23221,0.16193,0.76422,0.00023525,0.00023525,0.00023525
84,3489.59,0.3989,0.32491,0.90808,0.99877,1,0.995,0.97413,0.23815,0.16163,0.76406,0.000222875,0.000222875,0.000222875
85,3531.07,0.39628,0.32715,0.89896,0.99789,1,0.995,0.97213,0.22859,0.16057,0.76224,0.0002105,0.0002105,0.0002105
86,3572.69,0.39134,0.32247,0.90241,0.99727,0.99924,0.995,0.97442,0.23245,0.16212,0.76291,0.000198125,0.000198125,0.000198125
87,3614.19,0.38125,0.31019,0.90617,0.9986,1,0.995,0.9747,0.22706,0.15161,0.76147,0.00018575,0.00018575,0.00018575
88,3655.69,0.38635,0.31224,0.9004,0.99532,0.99629,0.995,0.97537,0.22459,0.16043,0.76181,0.000173375,0.000173375,0.000173375
89,3697.09,0.38364,0.31139,0.90029,0.99891,1,0.995,0.97507,0.2204,0.15239,0.76027,0.000161,0.000161,0.000161
90,3738.59,0.37551,0.31426,0.89826,0.99656,0.99861,0.995,0.97405,0.22343,0.15611,0.76058,0.000148625,0.000148625,0.000148625
91,3817.19,0.21237,0.17335,0.78484,0.99885,1,0.995,0.97361,0.2247,0.15746,0.75955,0.00013625,0.00013625,0.00013625
92,3858.34,0.20822,0.16454,0.78593,0.9944,1,0.99496,0.97354,0.22457,0.15493,0.76011,0.000123875,0.000123875,0.000123875
93,3899.42,0.20259,0.15864,0.7849,0.99883,1,0.995,0.97398,0.2202,0.15226,0.75836,0.0001115,0.0001115,0.0001115
94,3940.75,0.19852,0.15421,0.78358,0.99882,1,0.995,0.97244,0.21719,0.14607,0.75917,9.9125e-05,9.9125e-05,9.9125e-05
95,3982.06,0.1992,0.15203,0.78086,0.99881,1,0.995,0.97412,0.21936,0.14699,0.75949,8.675e-05,8.675e-05,8.675e-05
96,4023.37,0.19212,0.14929,0.77837,0.99882,1,0.995,0.97501,0.22098,0.14699,0.75862,7.4375e-05,7.4375e-05,7.4375e-05
97,4064.45,0.19074,0.15058,0.78616,0.99891,1,0.995,0.97594,0.21637,0.14338,0.75903,6.2e-05,6.2e-05,6.2e-05
98,4105.81,0.18829,0.15129,0.7789,0.99894,1,0.995,0.97682,0.21385,0.14502,0.75843,4.9625e-05,4.9625e-05,4.9625e-05
99,4147.18,0.18584,0.14673,0.7849,0.99893,1,0.995,0.97633,0.21378,0.14151,0.75954,3.725e-05,3.725e-05,3.725e-05
100,4188.53,0.18697,0.14492,0.78304,0.99888,1,0.995,0.97628,0.21154,0.14223,0.75845,2.4875e-05,2.4875e-05,2.4875e-05
